test_longs,Verilator_real,Verilator_user,Verilator_sys,Verilog_real,Verilog_user,Verilog_sys
100,0.016,0.005,0.0,0.022,0.001,0.007
100,0.015,0.005,0.0,0.02,0.007,0.0
100,0.015,0.004,0.0,0.021,0.006,0.0
100,0.015,0.004,0.0,0.021,0.006,0.0
100,0.014,0.004,0.0,0.02,0.006,0.0
100,0.016,0.0,0.005,0.02,0.006,0.0
100,0.015,0.0,0.005,0.019,0.006,0.0
100,0.014,0.004,0.0,0.021,0.006,0.0
100,0.014,0.004,0.0,0.02,0.006,0.0
100,0.017,0.0,0.005,0.02,0.006,0.0
1000,0.016,0.005,0.0,0.031,0.013,0.0
1000,0.016,0.005,0.0,0.027,0.008,0.001
1000,0.016,0.005,0.0,0.027,0.008,0.0
1000,0.016,0.005,0.0,0.025,0.0,0.008
1000,0.015,0.005,0.0,0.027,0.008,0.0
1000,0.015,0.005,0.0,0.024,0.008,0.0
1000,0.016,0.005,0.0,0.025,0.008,0.0
1000,0.016,0.0,0.006,0.024,0.008,0.0
1000,0.018,0.006,0.0,0.024,0.004,0.004
1000,0.016,0.005,0.0,0.024,0.008,0.0
10000,0.019,0.006,0.0,0.058,0.024,0.0
10000,0.018,0.007,0.0,0.055,0.015,0.007
10000,0.017,0.006,0.0,0.055,0.023,0.0
10000,0.017,0.003,0.003,0.054,0.022,0.0
10000,0.017,0.006,0.0,0.057,0.023,0.0
10000,0.018,0.006,0.0,0.056,0.023,0.0
10000,0.019,0.007,0.0,0.056,0.023,0.0
10000,0.017,0.006,0.0,0.055,0.022,0.0
10000,0.017,0.006,0.0,0.055,0.023,0.0
10000,0.019,0.007,0.0,0.054,0.022,0.0
100000,0.035,0.019,0.0,0.419,0.152,0.034
100000,0.039,0.02,0.0,0.398,0.153,0.017
100000,0.036,0.012,0.006,0.452,0.173,0.014
100000,0.036,0.019,0.0,0.533,0.183,0.032
100000,0.041,0.019,0.0,0.411,0.155,0.028
100000,0.035,0.019,0.0,0.459,0.159,0.026
100000,0.036,0.018,0.0,0.505,0.208,0.0
100000,0.039,0.02,0.0,0.458,0.123,0.061
100000,0.035,0.019,0.0,0.471,0.165,0.033
100000,0.034,0.018,0.0,0.422,0.168,0.009
1000000,0.252,0.141,0.014,4.447,1.768,0.143
1000000,0.274,0.158,0.0,4.483,1.799,0.144
1000000,0.24,0.142,0.013,4.385,1.68,0.15
1000000,0.246,0.137,0.011,4.382,1.657,0.181
1000000,0.251,0.152,0.0,4.385,1.881,0.111
1000000,0.239,0.155,0.0,4.472,1.903,0.113
1000000,0.28,0.158,0.0,4.213,1.593,0.297
1000000,0.269,0.143,0.011,4.395,1.731,0.238
1000000,0.256,0.142,0.01,4.351,1.839,0.099
1000000,0.229,0.152,0.0,4.783,2.041,0.154
10000000,3.361,1.599,0.066,45.105,17.992,1.728
10000000,3.033,1.601,0.024,46.599,18.661,1.802
10000000,2.957,1.549,0.041,48.176,18.616,1.644
10000000,3.063,1.633,0.013,42.061,16.417,1.241
10000000,3.089,1.661,0.0,41.888,16.239,1.395
10000000,3.046,1.63,0.012,48.527,16.81,1.352
10000000,3.029,1.578,0.046,54.532,17.207,1.487
10000000,2.823,1.515,0.055,46.49,16.583,1.251
10000000,3.034,1.596,0.034,57.783,17.71,1.38
10000000,2.887,1.507,0.076,68.955,17.843,1.635
100000000,31.996,17.799,0.356,557.088,205.307,20.228
100000000,31.361,17.552,0.379,561.9,201.211,20.728
100000000,31.541,17.367,0.326,565.633,202.348,21.418
100000000,30.57,17.631,0.392,587.949,173.288,15.772
100000000,30.93,17.371,0.437,596.413,171.875,16.622
100000000,31.02,17.383,0.305,596.516,178.694,16.215
100000000,30.784,17.289,0.412,572.029,205.008,20.875
100000000,31.068,17.462,0.383,582.321,209.537,21.024
100000000,31.157,17.334,0.448,582.74,210.649,21.071
100000000,31.321,17.733,0.353,619.544,208.572,21.675
